,"Groups (red), and Tags for USAVRCN Member database",,"Groups will provide basis for connecting communications within the member website, some are strict (committees, etc), some selectible topics "
,,,Tags will be specific interests selectible by members as they enroll and also are targets for member searches. 
,Committee: USAVRCN Board,,
,"Committee: Outreach (Early Career,AV Fellowship, Vaccinologist award)",,
,Committee: Fundraising,,
,Research Track: FILL-IN SUGGESTION,,
,,,
,,,
Host species,Team: Avian ,,
,Poultry,,
,Team: Equine ,,
,Horses,,
,Team: Ruminant ,,
,Cattle,,
,Small ruminants,,
,Buffalo,,
,Team: Swine ,,
,Pigs,,
,Team: Aquaculture ,,
,Finfish ,,
,Shellfish,,
,Crustaceans,,
,Mollusks,,
,Focus: Companion animals,,
,Cats,,
,Dogs,,
,,,
,Wildlife,,
,Zoonoses,,
,Transboundary/Foreign animal disease,,
,Camels,,
Pathogen,Focus: Viruses,,
,Adenovirus,,
,African horse sickness,,
,African swine fever virus,,
,Arboviruses,,
,Ateriviruses,,
,Avian papillomavirus,,
,Avian polyomavirus,,
,Bluetongue virus,,
,Bovine ephemeral fever virus,,
,Bovine viral diarrhea,,
,Calicivirus,,
,Capripoxvirus ,,
,Chicken anemia virus,,
,Classical swine fever virus,,
,Coronavirus,,
,Crimean-Congo hemorrhagic fever virus,,
,Cytomegalovirus,,
,Ebolaviruses/filoviruses,,
,Feline leukemia virus,,
,Foot-and-mouth disease virus,,
,Herpesvirus,,
,Infectious bursal disease virus,,
,Infectiouspancreatic necrosis virus,,
,Infectious salmon anemia virus,,
,Influenza virus,,
,Mareks disease virus,,
,Nairoviruses,,
,Newcastle disease virus,,
,Nipah virus,,
,Parainfluenza virus,,
,Paramyxoviruses,,
,Parvovirus,,
,Peste des petits ruminants virus,,
,Piscine novirhabdovirus,,
,Porcine circovirus,,
,Porcine reproductive and respiratory syndrome virus,,
,Poxviruses,,
,Rabies virus,,
,Respiratory syncytial virus,,
,Retroviruses,,
,Rift Valley fever virus,,
,Rotaviruses,,
,Focus: Bacteria,,
,Aeromonas,,
,Anaplasma ,,
,Borrelia ,,
,Brucella,,
,Chlamydia ,,
,Chlamydiophila,,
,Clostridia,,
,Corynebacterium,,
,Coxiella,,
,Erlichia,,
,E.coli,,
,Erysipelas,,
,Francisella ,,
,Leptospira,,
,Mycobacterium avium subsp. paratuberculosis,,
,Mycoplasma hyopneumoniae (M. hyo),,
,Mycoplasma species,,
,Mycobacteria bovis,,
,Rickettsia ,,
,Yersinia,,
,Salmonella,,
,Staphylococcus,,
,Focus: Parasites,,
,Babesia,,
,Cestodes,,
,Diptera,,
,Eimeria,,
,Mites ,,
,Nematodes,,
,Neospora,,
,Taenia ,,
,Theileria,,
,Ticks,,
,Trypanosoma,,
Discipline/Stage of vaccine development,Focus: Industrial,,
,Bio-manufacturing,,
,Commercialisation,,
,Deployment,,
,Commercialisation,,
,"Fund raising, venture capital",,
,Marketing strategies,,
,QC test development,,
,Quality assurance,,
,Patents,,
,Registration,,
,Regulation,,
,Transition from research to manufacture,,
,Marketing,,
,,,
,Focus:Vaccine testing,,
,Challenge model development,,
,Challenge study design,,
,Clinical trails,,
,Clinical trials - efficacy,,
,Clinical trials - safety,,
,Field trails,,
,Pre-clinical trails,,
,Safety evaluation,,
,,,
,Focus:Academic,,
,Economics,,
,Epidemiology,,
,Ethics,,
,Social sciences,,
,Statistics,,
,,,
,,,
,(Proposed) Team: Immunology,,
,Humoral immunity,,
,Innate immunity,,
,Cellular immunity,,
,Allergy,,
,Correlates of protection-immunomonitoring,,
,Protective antigens,,
,Mucosal vaccines,,
,Cancer vaccines,,
,,,
,Focus: Basic Science,,
,Bioinformatics,,
,Cellular biology,,
,Molecular biology,,
,Pharmacovigilance,,
,Protein biology,,
,Structural biology,,
,Systems biology,,
,,,
,Team: Vaccine technologies,,
,Live-attenuated vaccine,,
,Adjuvents,,
,Antigen discovery and immunogen design,,
,Formulation technology,,
,Killed vaccines/bacterins,,
,Mosaic/cross-protective/universal vaccines,,
,Plant-expressed vaccines,,
,Subunit vaccines,,
,Synthetic biology,,
,Vaccine delivery,,
,Vector-borne/transmission-blocking vaccines,,
,DNA/RNA vaccines,,
,,,
Affiliation,Affiliation: US Government,,
,Affiliation: State Government,,
,"Affiliation: Industry, Producer",,
,"Affiliation: Industry, vaccines",,
,"Affiliation: Industry, Retail",,
,Affiliation: Veterinary Clinical,,
,Affiliation: Academic Extension,,
,Affiliation: Academic Teaching,,
,Affiliation: Academic Research,,
,Affiliation: FILL_IN,,
,,,
Funding,Funding: USDA,,
,Funding: NIH,,
,Funding: NSF,,
,Funding: NPB,,
,Funding: US Egg&Poultry,,
,Funding: Internal,,
,Funding: USAID,,
,Funding: Defense,,
,Funding: DARPA,,
,Funding: IVVN,,
,Funding: FILL-IN,,
,,,
MEMBER collaborators ,"Collaborators: FILL-IN, Year Started",,
Research interests ,(manditory fill-in),,
Projects you're working on, (optional fill-in),,
,,,
