id,name,slug,description,tag_category_id,parent_tag_id,color,sort_order,is_active,metadata
1,Poultry,poultry,,1,,,1,1,
2,Horses,horses,,1,,,1,1,
3,Cattle,cattle,,1,,,1,1,
6,Pigs,pigs,,1,,,1,1,
7,Finfish,finfish,,1,,,1,1,
11,Cats,cats,,1,,,1,1,
4,"Small ruminants",small-ruminants,,1,,,2,1,
8,Shellfish,shellfish,,1,,,2,1,
12,Dogs,dogs,,1,,,2,1,
5,Buffalo,buffalo,,1,,,3,1,
9,Crustaceans,crustaceans,,1,,,3,1,
13,Wildlife,wildlife,,1,,,3,1,
10,Mollusks,mollusks,,1,,,4,1,
14,Zoonoses,zoonoses,,1,,,4,1,
15,"Transboundary/Foreign animal disease",transboundaryforeign-animal-disease,,1,,,5,1,
16,Camels,camels,,1,,,6,1,
17,Adenovirus,adenovirus,,2,,,1,1,
59,Aeromonas,aeromonas,,2,,,1,1,
18,"African horse sickness",african-horse-sickness,,2,,,2,1,
60,"Anaplasma ",anaplasma,,2,,,2,1,
19,"African swine fever virus",african-swine-fever-virus,,2,,,3,1,
61,"Borrelia ",borrelia,,2,,,3,1,
20,Arboviruses,arboviruses,,2,,,4,1,
62,Brucella,brucella,,2,,,4,1,
21,Ateriviruses,ateriviruses,,2,,,5,1,
63,"Chlamydia ",chlamydia,,2,,,5,1,
22,"Avian papillomavirus",avian-papillomavirus,,2,,,6,1,
64,Chlamydiophila,chlamydiophila,,2,,,6,1,
23,"Avian polyomavirus",avian-polyomavirus,,2,,,7,1,
65,Clostridia,clostridia,,2,,,7,1,
24,"Bluetongue virus",bluetongue-virus,,2,,,8,1,
66,Corynebacterium,corynebacterium,,2,,,8,1,
25,"Bovine ephemeral fever virus",bovine-ephemeral-fever-virus,,2,,,9,1,
67,Coxiella,coxiella,,2,,,9,1,
26,"Bovine viral diarrhea",bovine-viral-diarrhea,,2,,,10,1,
68,Erlichia,erlichia,,2,,,10,1,
27,Calicivirus,calicivirus,,2,,,11,1,
69,E.coli,ecoli,,2,,,11,1,
28,"Capripoxvirus ",capripoxvirus,,2,,,12,1,
70,Erysipelas,erysipelas,,2,,,12,1,
29,"Chicken anemia virus",chicken-anemia-virus,,2,,,13,1,
71,"Francisella ",francisella,,2,,,13,1,
30,"Classical swine fever virus",classical-swine-fever-virus,,2,,,14,1,
72,Leptospira,leptospira,,2,,,14,1,
31,Coronavirus,coronavirus,,2,,,15,1,
73,"Mycobacterium avium subsp. paratuberculosis",mycobacterium-avium-subsp-paratuberculosis,,2,,,15,1,
32,"Crimean-Congo hemorrhagic fever virus",crimean-congo-hemorrhagic-fever-virus,,2,,,16,1,
